x,y,demand,open,close,servicetime,drone_serve,time
70.0,70.0,0.0,0.0,1351.0,0.0,1,0.0
95.0,77.0,10.0,25.0,594.0,90.0,1,0.43
99.0,96.0,10.0,38.0,455.0,90.0,1,1.35
16.0,138.0,10.0,86.0,514.0,90.0,1,1.55
67.0,55.0,10.0,15.0,510.0,90.0,1,3.32
31.0,112.0,20.0,142.0,740.0,90.0,0,3.51
119.0,139.0,20.0,84.0,730.0,90.0,0,3.52
91.0,108.0,10.0,117.0,696.0,90.0,1,3.83
93.0,75.0,30.0,23.0,481.0,90.0,0,4.63
10.0,118.0,10.0,76.0,621.0,90.0,1,4.81
25.0,26.0,20.0,62.0,444.0,90.0,0,6.09
101.0,96.0,10.0,40.0,488.0,90.0,1,6.3
89.0,73.0,10.0,19.0,474.0,90.0,1,6.36
28.0,74.0,20.0,42.0,533.0,90.0,0,7.01
21.0,26.0,20.0,65.0,615.0,90.0,0,8.97
74.0,96.0,30.0,26.0,572.0,90.0,0,9.81
104.0,106.0,20.0,187.0,637.0,90.0,0,10.6
96.0,26.0,10.0,51.0,490.0,90.0,1,10.6
63.0,57.0,10.0,14.0,408.0,90.0,1,12.24
84.0,99.0,20.0,32.0,579.0,90.0,0,12.64
103.0,106.0,30.0,124.0,518.0,90.0,0,12.9
62.0,58.0,20.0,14.0,467.0,90.0,0,13.01
8.0,138.0,30.0,92.0,600.0,90.0,0,13.4
25.0,80.0,20.0,180.0,640.0,90.0,0,14.17
85.0,106.0,20.0,39.0,467.0,90.0,0,14.37
88.0,35.0,20.0,39.0,665.0,90.0,0,14.69
32.0,77.0,20.0,38.0,487.0,90.0,0,15.52
97.0,28.0,20.0,49.0,564.0,90.0,0,15.7
99.0,28.0,30.0,132.0,703.0,90.0,0,16.22
42.0,136.0,10.0,92.0,599.0,90.0,1,17.07
43.0,135.0,10.0,70.0,690.0,90.0,1,17.22
109.0,71.0,20.0,39.0,606.0,90.0,0,17.58
91.0,78.0,10.0,22.0,480.0,90.0,1,18.4
127.0,29.0,20.0,70.0,502.0,90.0,0,18.46
10.0,137.0,30.0,89.0,743.0,90.0,0,18.76
26.0,105.0,40.0,56.0,587.0,90.0,0,20.97
74.0,93.0,20.0,23.0,512.0,90.0,0,21.06
112.0,71.0,20.0,42.0,685.0,90.0,0,22.54
27.0,77.0,10.0,43.0,616.0,90.0,1,24.08
87.0,108.0,20.0,95.0,530.0,90.0,0,24.33
99.0,26.0,40.0,111.0,540.0,90.0,0,24.37
74.0,99.0,20.0,29.0,503.0,90.0,0,24.9
118.0,114.0,10.0,65.0,533.0,90.0,1,24.95
93.0,36.0,20.0,41.0,484.0,90.0,0,24.96
115.0,134.0,30.0,78.0,585.0,90.0,0,25.34
21.0,44.0,20.0,55.0,374.0,90.0,0,27.16
35.0,76.0,10.0,35.0,437.0,90.0,1,27.3
109.0,131.0,20.0,72.0,596.0,90.0,0,27.4
127.0,28.0,30.0,70.0,664.0,90.0,0,27.96
86.0,102.0,10.0,35.0,618.0,90.0,1,27.96
103.0,69.0,30.0,33.0,502.0,90.0,0,28.34
119.0,114.0,20.0,65.0,545.0,90.0,0,29.16
102.0,104.0,20.0,46.0,512.0,90.0,0,30.26
21.0,115.0,10.0,75.0,607.0,90.0,1,31.92
24.0,26.0,20.0,63.0,506.0,90.0,0,32.83
95.0,35.0,10.0,43.0,429.0,90.0,1,32.88
87.0,39.0,20.0,35.0,439.0,90.0,0,33.55
40.0,132.0,20.0,68.0,573.0,90.0,0,35.34
97.0,29.0,30.0,49.0,427.0,90.0,0,35.5
21.0,48.0,10.0,53.0,630.0,90.0,1,36.81
3.0,135.0,20.0,209.0,715.0,90.0,0,38.16
130.0,27.0,30.0,73.0,663.0,90.0,0,38.98
0.0,27.0,30.0,82.0,600.0,90.0,0,40.83
121.0,112.0,20.0,66.0,591.0,90.0,0,43.89
